Subject,Avg_PSNR,StdDev_PSNR,Avg_MAE,StdDev_MAE,Avg_SSIM,StdDev_SSIM
TOW143,22.16515774514617,1.3671624719014261,53.38898058712121,3.544581667077427,0.6836489410988627,0.02140231938759435
TOW144,22.705961879319794,1.6668833720448621,67.05337966826468,8.553225475668532,0.695202671311097,0.039273206541196294
TOW146,24.3360032178477,1.7056918540395685,67.66115831409802,5.790913818794525,0.7783688053796975,0.024941142954363345
TOW201,32.35058029991981,14.709625776332356,55.79535977450284,23.269209380444163,0.8402890985094139,0.08010500013200154
TOW213,24.941572355957618,1.2315339105399994,51.52703825609611,7.98102550459713,0.7660929191840866,0.03954349957654
TOW216,30.704573754425567,15.566034773060583,52.63849018258759,21.825010257543806,0.8153665209749951,0.09300820074479826
TOW218,32.41835949595764,14.712096070157703,55.07817097981771,23.283078009898396,0.8325004996949357,0.08425998715509325
TOW224,33.94060871067028,13.89845439469508,77.81666727331913,34.40097102885149,0.8616560480035849,0.07039988112628198
TOW239,22.44368535216783,2.1654124034521804,64.24987318744081,4.034106282105357,0.7229435127358727,0.022071866226996754
TOW246,26.5544334770612,1.3289059369025493,58.078895308061085,6.660439404586469,0.8113898389208841,0.019781462713755155
TOW247,20.195725003088533,1.8686049694221094,69.48515006510416,5.152352093024717,0.6097719461276264,0.031062253174445408
TOW248,31.8549569933877,15.040582325158596,53.50972129498107,22.22091949520607,0.8298550558786674,0.08587736654797397
TOW251,32.74285493170885,14.495360602057255,47.343776729699336,19.44789739962003,0.8430690730092144,0.07847572291861017
TOW254,32.50141284990849,14.614598087496072,47.40011889648438,19.200616844477292,0.8240337099717976,0.08887752601790694
TOW257,31.399086127327113,15.209489708202275,54.894955307469225,22.763205733530267,0.8297176661389374,0.08606002042525018
TOW259,33.98623336831454,13.87932921913224,45.17677116625237,18.566354472622322,0.8577262285269068,0.0718435037004688
TOW_VOL12,30.29728280616869,15.814346045550579,18.243552312677558,4.827775097459232,0.6145728296616702,0.19365154698201467
TOW_VOL13,33.00894945605434,14.377958539576348,61.92579514382103,26.4791250670568,0.8380709663201935,0.08180912793503933
TOW_VOL14,25.012350962660364,0.9321312158553342,73.60637460789536,7.29029772780253,0.7754950924375966,0.01850412192581789
TOW_VOL15,28.93522464464473,16.423324988450265,56.025788115530304,23.61640493698224,0.7792026485531567,0.11098109578411934
